Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8
Mapping project name,ESCO - SE NOC,,,,,,
Mapping project author,default-author,,,,,,
Mapping project version,,,,,,,
Mapping project version date,csv_generator$today@1751f89f,,,,,,
Classification 1 Name,Esco - yrken,,,,,,
Classification 1 Concept type,Occupation,,,,,,
Classification 1 Version,1.1.1,,,,,,
Classification 1 Language,sv,,,,,,
Classification 1 Landing page,https://ec.europa.eu/esco/portal/occupation,,,,,,
Classification 2 Name,Swedish Standard Classification of Occupations 2012,,,,,,
Classification 2 Concept type,Occupation,,,,,,
Classification 2 Version,18,,,,,,
Classification 2 Language,sv,,,,,,
Classification 2 Landing page,https://atlas.jobtechdev.se/,,,,,,
,,,,,,,
,,,,,,,
Classification 1 URI,Classification 1 PrefLabel,Classification 1 URL,Classification 2 URI,Classification 2 PrefLabel,Classification 2 URL,Mapping relation,Editorial note
http://data.europa.eu/esco/occupation/3594efa8-cd69-411e-a345-d88ba756b758,"kvalitetsbedömare, pappersmassa",http://data.europa.eu/esco/occupation/3594efa8-cd69-411e-a345-d88ba756b758,http://data.jobtechdev.se/taxonomy/concept/h4wH_7kG_UTN,"Processoperatör, pappersmassa",http://data.jobtechdev.se/taxonomy/concept/h4wH_7kG_UTN,skos:broadMatch,
http://data.europa.eu/esco/occupation/728b9e5b-3da4-4dbd-ac36-614ebdb6c8c0,"massakokare, processoperatör",http://data.europa.eu/esco/occupation/728b9e5b-3da4-4dbd-ac36-614ebdb6c8c0,http://data.jobtechdev.se/taxonomy/concept/h4wH_7kG_UTN,"Processoperatör, pappersmassa",http://data.jobtechdev.se/taxonomy/concept/h4wH_7kG_UTN,skos:broadMatch,
http://data.europa.eu/esco/occupation/444c9aa9-578d-4a9a-9949-99ef1bacb20e,"tekniker, fordonsindustrin",http://data.europa.eu/esco/occupation/444c9aa9-578d-4a9a-9949-99ef1bacb20e,http://data.jobtechdev.se/taxonomy/concept/cBns_bSk_db4,Formbestämmare/Surface designer,http://data.jobtechdev.se/taxonomy/concept/cBns_bSk_db4,skos:broadMatch,
http://data.europa.eu/esco/isco/C2422,Planerare och utredare,http://data.europa.eu/esco/isco/C2422,http://data.jobtechdev.se/taxonomy/concept/mqMb_FSG_ahg,Folkhälsostrateg,http://data.jobtechdev.se/taxonomy/concept/mqMb_FSG_ahg,skos:narrowMatch,
http://data.europa.eu/esco/occupation/cbde1a3a-406d-4d17-b30b-03981925035d,energianalytiker,http://data.europa.eu/esco/occupation/cbde1a3a-406d-4d17-b30b-03981925035d,http://data.jobtechdev.se/taxonomy/concept/vqv8_Tiz_NeL,Energi- och klimatrådgivare,http://data.jobtechdev.se/taxonomy/concept/vqv8_Tiz_NeL,skos:exactMatch,
http://data.europa.eu/esco/occupation/b5d2db88-9e2b-4efa-8f2f-0e62a494791e,"handläggare, offentlig förvaltning, miljö",http://data.europa.eu/esco/occupation/b5d2db88-9e2b-4efa-8f2f-0e62a494791e,http://data.jobtechdev.se/taxonomy/concept/Dt25_NxU_ASi,Klimatanpassningssamordnare,http://data.jobtechdev.se/taxonomy/concept/Dt25_NxU_ASi,skos:exactMatch,
http://data.europa.eu/esco/occupation/4cf7be91-fed9-47a7-9ca9-e74c7eb6becb,3D-tekniker,http://data.europa.eu/esco/occupation/4cf7be91-fed9-47a7-9ca9-e74c7eb6becb,http://data.jobtechdev.se/taxonomy/concept/kHsW_KVe_dT4,3D-printingspecialist,http://data.jobtechdev.se/taxonomy/concept/kHsW_KVe_dT4,skos:exactMatch,
http://data.europa.eu/esco/occupation/5efb2c08-ba3a-4659-a2e4-1883f54e77b6,gymnasielärare,http://data.europa.eu/esco/occupation/5efb2c08-ba3a-4659-a2e4-1883f54e77b6,http://data.jobtechdev.se/taxonomy/concept/f5ea_EuN_EfJ,Lärare i kulturskolan,http://data.jobtechdev.se/taxonomy/concept/f5ea_EuN_EfJ,skos:narrowMatch,
http://data.europa.eu/esco/occupation/02ff199e-38b3-45fd-b659-68846cfeeb92,sprinklermontör,http://data.europa.eu/esco/occupation/02ff199e-38b3-45fd-b659-68846cfeeb92,http://data.jobtechdev.se/taxonomy/concept/xNZX_tnB_NQj,"Lärling, sprinklermontör",http://data.jobtechdev.se/taxonomy/concept/xNZX_tnB_NQj,skos:exactMatch,
http://data.europa.eu/esco/occupation/d185c066-cddf-4a8c-a931-5eefc21fc2a1,kabininstruktör,http://data.europa.eu/esco/occupation/d185c066-cddf-4a8c-a931-5eefc21fc2a1,http://data.jobtechdev.se/taxonomy/concept/4ezL_ibz_8k7,Utbildare och personalutvecklare,http://data.jobtechdev.se/taxonomy/concept/4ezL_ibz_8k7,skos:broadMatch,
http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,forskare inom datavetenskap,http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,http://data.jobtechdev.se/taxonomy/concept/ziUj_67V_Yk4,Data scientist,http://data.jobtechdev.se/taxonomy/concept/ziUj_67V_Yk4,skos:exactMatch,
http://data.europa.eu/esco/occupation/c784c2db-e636-429f-8492-3191790a58d7,motionsinstruktör,http://data.europa.eu/esco/occupation/c784c2db-e636-429f-8492-3191790a58d7,http://data.jobtechdev.se/taxonomy/concept/KuqL_bsD_Zqd,Träningsinstruktör,http://data.jobtechdev.se/taxonomy/concept/KuqL_bsD_Zqd,skos:exactMatch,
http://data.europa.eu/esco/occupation/0bf5d25a-2b4d-43b5-b053-beeb210fa43a,"lektor, medicin",http://data.europa.eu/esco/occupation/0bf5d25a-2b4d-43b5-b053-beeb210fa43a,http://data.jobtechdev.se/taxonomy/concept/vGyq_S18_JKE,"Forskningsassistent, medicin",http://data.jobtechdev.se/taxonomy/concept/vGyq_S18_JKE,skos:narrowMatch,
http://data.europa.eu/esco/isco/C2310,Universitets- och högskolelärare,http://data.europa.eu/esco/isco/C2310,http://data.jobtechdev.se/taxonomy/concept/J2oU_Cpq_ZVX,Forskningshandledare,http://data.jobtechdev.se/taxonomy/concept/J2oU_Cpq_ZVX,skos:narrowMatch,
http://data.europa.eu/esco/occupation/7f800e7d-9d86-406a-9116-b5eca7526869,"underhållstekniker, vattenverk",http://data.europa.eu/esco/occupation/7f800e7d-9d86-406a-9116-b5eca7526869,http://data.jobtechdev.se/taxonomy/concept/FCZt_EXF_Pag,Drifttekniker vattenverk VA,http://data.jobtechdev.se/taxonomy/concept/FCZt_EXF_Pag,skos:broadMatch,
http://data.europa.eu/esco/occupation/92b7a42c-b437-4412-ac21-1a750883cf21,"tekniker, geotermi",http://data.europa.eu/esco/occupation/92b7a42c-b437-4412-ac21-1a750883cf21,http://data.jobtechdev.se/taxonomy/concept/h9yf_QED_SCC,"Lärling, industrielektriker",http://data.jobtechdev.se/taxonomy/concept/h9yf_QED_SCC,skos:broadMatch,
http://data.europa.eu/esco/occupation/1a165cb5-99ff-4a4e-9e08-97a0fb7ed6f8,"tekniker, havsbaserad energi",http://data.europa.eu/esco/occupation/1a165cb5-99ff-4a4e-9e08-97a0fb7ed6f8,http://data.jobtechdev.se/taxonomy/concept/9XKh_kC3_A29,Vindkraftstekniker,http://data.jobtechdev.se/taxonomy/concept/9XKh_kC3_A29,skos:broadMatch,
http://data.europa.eu/esco/occupation/557f9ccc-4e46-4bb2-8d20-272cd978b152,forskare inom veterinärmedicin,http://data.europa.eu/esco/occupation/557f9ccc-4e46-4bb2-8d20-272cd978b152,http://data.jobtechdev.se/taxonomy/concept/MqSM_PXs_d8P,"Forskare, medicin",http://data.jobtechdev.se/taxonomy/concept/MqSM_PXs_d8P,skos:broadMatch,
http://data.europa.eu/esco/occupation/78faf623-2543-43a5-acb2-3c43a22d36e4,blockkedjearkitekt,http://data.europa.eu/esco/occupation/78faf623-2543-43a5-acb2-3c43a22d36e4,http://data.jobtechdev.se/taxonomy/concept/i1F4_cZZ_PJu,Systemarkitekt,http://data.jobtechdev.se/taxonomy/concept/i1F4_cZZ_PJu,skos:broadMatch,
http://data.europa.eu/esco/occupation/349ee6f6-c295-4c38-9b98-48765b55280e,molntekniker,http://data.europa.eu/esco/occupation/349ee6f6-c295-4c38-9b98-48765b55280e,http://data.jobtechdev.se/taxonomy/concept/7wdX_4rv_33z,Backend-utvecklare,http://data.jobtechdev.se/taxonomy/concept/7wdX_4rv_33z,skos:broadMatch,
http://data.europa.eu/esco/occupation/4e82464b-e9d7-4d51-9116-294ab40c5169,hjälpmedelstekniker,http://data.europa.eu/esco/occupation/4e82464b-e9d7-4d51-9116-294ab40c5169,http://data.jobtechdev.se/taxonomy/concept/34fU_rZj_94W,Övriga pedagoger med teoretisk specialistkompetens,http://data.jobtechdev.se/taxonomy/concept/34fU_rZj_94W,skos:broadMatch,
http://data.europa.eu/esco/occupation/8edd8bff-cb59-4c9c-ab0f-59e77d18be48,"expert, prediktivt underhåll",http://data.europa.eu/esco/occupation/8edd8bff-cb59-4c9c-ab0f-59e77d18be48,http://data.jobtechdev.se/taxonomy/concept/Q82z_o8C_25s,"Civilingenjör, kvalitet, elektronik",http://data.jobtechdev.se/taxonomy/concept/Q82z_o8C_25s,skos:broadMatch,
http://data.europa.eu/esco/occupation/3d974e0c-8ed9-47a7-aec2-ebdb34391c87,flygplanslastare,http://data.europa.eu/esco/occupation/3d974e0c-8ed9-47a7-aec2-ebdb34391c87,http://data.jobtechdev.se/taxonomy/concept/nDGY_Jbi_cRM,Flygplatstekniker,http://data.jobtechdev.se/taxonomy/concept/nDGY_Jbi_cRM,skos:broadMatch,
http://data.europa.eu/esco/occupation/5b6c0c64-1321-4fe7-a274-3287c13b489c,"musiklärare, gymnasieskola",http://data.europa.eu/esco/occupation/5b6c0c64-1321-4fe7-a274-3287c13b489c,http://data.jobtechdev.se/taxonomy/concept/f5ea_EuN_EfJ,Lärare i kulturskolan,http://data.jobtechdev.se/taxonomy/concept/f5ea_EuN_EfJ,skos:broadMatch,
http://data.europa.eu/esco/occupation/fc9a86ec-7ad5-4ccb-a08f-1e369197e14a,"montör, kartongprodukter",http://data.europa.eu/esco/occupation/fc9a86ec-7ad5-4ccb-a08f-1e369197e14a,http://data.jobtechdev.se/taxonomy/concept/YtGc_hYN_fdA,"Maskinoperatör, pappersvaruindustri",http://data.jobtechdev.se/taxonomy/concept/YtGc_hYN_fdA,skos:broadMatch,
http://data.europa.eu/esco/occupation/c3fc5265-6333-483f-9339-b4b860efa08d,fiskeriinspektör,http://data.europa.eu/esco/occupation/c3fc5265-6333-483f-9339-b4b860efa08d,http://data.jobtechdev.se/taxonomy/concept/whBX_Ndk_opm,Fiskerikontrollant,http://data.jobtechdev.se/taxonomy/concept/whBX_Ndk_opm,skos:exactMatch,
http://data.europa.eu/esco/occupation/97b3cab1-f4f0-41ed-8c80-e65e6c067e95,gasinstallatör,http://data.europa.eu/esco/occupation/97b3cab1-f4f0-41ed-8c80-e65e6c067e95,http://data.jobtechdev.se/taxonomy/concept/UvdT_qWq_3Ns,"Lärling, industrirörmontör",http://data.jobtechdev.se/taxonomy/concept/UvdT_qWq_3Ns,skos:broadMatch,
http://data.europa.eu/esco/occupation/c956be07-53a3-4b01-b8f8-f0c5a428eaa8,företagssäljare,http://data.europa.eu/esco/occupation/c956be07-53a3-4b01-b8f8-f0c5a428eaa8,http://data.jobtechdev.se/taxonomy/concept/g5fd_Eyr_bjS,Företagssäljare,http://data.jobtechdev.se/taxonomy/concept/g5fd_Eyr_bjS,skos:exactMatch,
http://data.europa.eu/esco/occupation/09e070ce-0afe-40bb-be90-530e5d42cdbd,energiexpert specialiserad på bostäder,http://data.europa.eu/esco/occupation/09e070ce-0afe-40bb-be90-530e5d42cdbd,http://data.jobtechdev.se/taxonomy/concept/vqv8_Tiz_NeL,Energi- och klimatrådgivare,http://data.jobtechdev.se/taxonomy/concept/vqv8_Tiz_NeL,skos:broadMatch,
http://data.europa.eu/esco/occupation/3c0af499-39f6-4468-9ba4-b13a26d5f888,blästrare,http://data.europa.eu/esco/occupation/3c0af499-39f6-4468-9ba4-b13a26d5f888,http://data.jobtechdev.se/taxonomy/concept/TpfP_AE2_vBL,Blästrare,http://data.jobtechdev.se/taxonomy/concept/TpfP_AE2_vBL,skos:exactMatch,
http://data.europa.eu/esco/occupation/12ff7f9c-c5b5-4d4a-b585-c350dd1400eb,"forskare, företagsekonomi",http://data.europa.eu/esco/occupation/12ff7f9c-c5b5-4d4a-b585-c350dd1400eb,http://data.jobtechdev.se/taxonomy/concept/6Cud_aLn_ehn,"Forskningsassistent, ekonomi",http://data.jobtechdev.se/taxonomy/concept/6Cud_aLn_ehn,skos:closeMatch,
http://data.europa.eu/esco/occupation/eee68e13-8248-43bb-a9fb-959832a6c217,biolog,http://data.europa.eu/esco/occupation/eee68e13-8248-43bb-a9fb-959832a6c217,http://data.jobtechdev.se/taxonomy/concept/UADD_eJ1_SNQ,"Forskningsassistent, biologi",http://data.jobtechdev.se/taxonomy/concept/UADD_eJ1_SNQ,skos:narrowMatch,
http://data.europa.eu/esco/isco/C2310,Universitets- och högskolelärare,http://data.europa.eu/esco/isco/C2310,http://data.jobtechdev.se/taxonomy/concept/qKiE_nbz_crB,Forskningsledare,http://data.jobtechdev.se/taxonomy/concept/qKiE_nbz_crB,skos:narrowMatch,
http://data.europa.eu/esco/isco/C2221,Sjuksköterskor med särskild kompetens,http://data.europa.eu/esco/isco/C2221,http://data.jobtechdev.se/taxonomy/concept/Agi7_Q14_oxk,Forskningssjuksköterska,http://data.jobtechdev.se/taxonomy/concept/Agi7_Q14_oxk,skos:narrowMatch,
http://data.europa.eu/esco/isco/C7119,Övriga byggnads- och anläggningsarbetare,http://data.europa.eu/esco/isco/C7119,http://data.jobtechdev.se/taxonomy/concept/Gbx4_8HD_tme,Drifttekniker ledningsnät VA,http://data.jobtechdev.se/taxonomy/concept/Gbx4_8HD_tme,skos:narrowMatch,
http://data.europa.eu/esco/occupation/2480f8b0-4c02-4c66-84ad-2677c1548e03,renhållningsförare,http://data.europa.eu/esco/occupation/2480f8b0-4c02-4c66-84ad-2677c1548e03,http://data.jobtechdev.se/taxonomy/concept/DixA_mfm_THe,Medåkare renhållningsbil,http://data.jobtechdev.se/taxonomy/concept/DixA_mfm_THe,skos:broadMatch,
http://data.europa.eu/esco/occupation/6e298596-882b-4687-a0cf-3eb37f8fd328,samordnare av friluftsaktiviteter,http://data.europa.eu/esco/occupation/6e298596-882b-4687-a0cf-3eb37f8fd328,http://data.jobtechdev.se/taxonomy/concept/brrG_pJ8_Gc3,Friluftssamordnare,http://data.jobtechdev.se/taxonomy/concept/brrG_pJ8_Gc3,skos:exactMatch,
http://data.europa.eu/esco/occupation/f0296b9c-764d-42ab-8de9-2a3729a9b67a,marinbiolog,http://data.europa.eu/esco/occupation/f0296b9c-764d-42ab-8de9-2a3729a9b67a,http://data.jobtechdev.se/taxonomy/concept/442F_Jtj_uDq,Marinbiolog,http://data.jobtechdev.se/taxonomy/concept/442F_Jtj_uDq,skos:exactMatch,
http://data.europa.eu/esco/occupation/ec5a067f-6278-4e35-990f-c9b7205a9ff4,certifieringsingenjör,http://data.europa.eu/esco/occupation/ec5a067f-6278-4e35-990f-c9b7205a9ff4,http://data.jobtechdev.se/taxonomy/concept/84z6_pWk_XJQ,"Civilingenjör, tillverkningsindustri",http://data.jobtechdev.se/taxonomy/concept/84z6_pWk_XJQ,skos:broadMatch,
http://data.europa.eu/esco/occupation/abae06d8-525f-4a2d-8bbd-67b559aad8f2,temperaturkontrollant,http://data.europa.eu/esco/occupation/abae06d8-525f-4a2d-8bbd-67b559aad8f2,http://data.jobtechdev.se/taxonomy/concept/DUJ9_unK_Qw8,Övriga inom hälsovård,http://data.jobtechdev.se/taxonomy/concept/DUJ9_unK_Qw8,skos:broadMatch,
http://data.europa.eu/esco/occupation/1619d7f3-7d95-407c-a20e-47745bfcde73,dataskyddsombud,http://data.europa.eu/esco/occupation/1619d7f3-7d95-407c-a20e-47745bfcde73,http://data.jobtechdev.se/taxonomy/concept/hN4f_6jN_eZQ,Dataskyddsombud,http://data.jobtechdev.se/taxonomy/concept/hN4f_6jN_eZQ,skos:exactMatch,
http://data.europa.eu/esco/occupation/b4e26d7f-475e-4ada-b287-d669de03fb21,gummitekniker,http://data.europa.eu/esco/occupation/b4e26d7f-475e-4ada-b287-d669de03fb21,http://data.jobtechdev.se/taxonomy/concept/f2PC_hUg_XpT,"Civilingenjör, kemiteknik",http://data.jobtechdev.se/taxonomy/concept/f2PC_hUg_XpT,skos:broadMatch,
http://data.europa.eu/esco/occupation/7b4744a8-a4e3-4104-9b74-4ec54108af7b,"designer, mikroelektronik",http://data.europa.eu/esco/occupation/7b4744a8-a4e3-4104-9b74-4ec54108af7b,http://data.jobtechdev.se/taxonomy/concept/RJTu_B9E_aYY,"Civilingenjör, konstruktion, elektronik",http://data.jobtechdev.se/taxonomy/concept/RJTu_B9E_aYY,skos:broadMatch,
http://data.europa.eu/esco/occupation/5979893a-0a30-447b-8f33-1ea405600583,drivlineingenjör,http://data.europa.eu/esco/occupation/5979893a-0a30-447b-8f33-1ea405600583,http://data.jobtechdev.se/taxonomy/concept/6xgC_2sA_JM3,"Civilingenjörer m.fl., maskin",http://data.jobtechdev.se/taxonomy/concept/6xgC_2sA_JM3,skos:broadMatch,
http://data.europa.eu/esco/occupation/15a7e87c-f7d5-4a60-bab7-9636b76143fe,"installatör, smarta hus",http://data.europa.eu/esco/occupation/15a7e87c-f7d5-4a60-bab7-9636b76143fe,http://data.jobtechdev.se/taxonomy/concept/cqQb_Zc1_nWi,Elektronikreparatörer m.fl.,http://data.jobtechdev.se/taxonomy/concept/cqQb_Zc1_nWi,skos:broadMatch,
http://data.europa.eu/esco/occupation/d08b4700-758c-467d-ab77-d5a8029c4070,upphandlare inom offentlig verksamhet,http://data.europa.eu/esco/occupation/d08b4700-758c-467d-ab77-d5a8029c4070,http://data.jobtechdev.se/taxonomy/concept/ryH6_MAv_QWb,Upphandlare,http://data.jobtechdev.se/taxonomy/concept/ryH6_MAv_QWb,skos:broadMatch,
http://data.europa.eu/esco/occupation/b0fa69b4-998c-4e66-acd3-5f5d73cadb5c,"maskinoperatör, förpacknings- och fyllningsmaskin",http://data.europa.eu/esco/occupation/b0fa69b4-998c-4e66-acd3-5f5d73cadb5c,http://data.jobtechdev.se/taxonomy/concept/ZYJc_LZb_CYJ,Fyllnings- och förpackningsoperatör,http://data.jobtechdev.se/taxonomy/concept/ZYJc_LZb_CYJ,skos:exactMatch,
http://data.europa.eu/esco/occupation/a5245c01-4ca8-406e-a152-620c28530ea8,"hyvlare, metall",http://data.europa.eu/esco/occupation/a5245c01-4ca8-406e-a152-620c28530ea8,http://data.jobtechdev.se/taxonomy/concept/XzvX_AHE_ECV,"Slipare, metall",http://data.jobtechdev.se/taxonomy/concept/XzvX_AHE_ECV,skos:broadMatch,
http://data.europa.eu/esco/occupation/80ec8f3e-2cda-4ea6-a382-ece99589ccdd,"bildlärare, gymnasieskola",http://data.europa.eu/esco/occupation/80ec8f3e-2cda-4ea6-a382-ece99589ccdd,http://data.jobtechdev.se/taxonomy/concept/86sy_hBf_exW,"Ämneslärare, gymnasieskolan",http://data.jobtechdev.se/taxonomy/concept/86sy_hBf_exW,skos:broadMatch,
http://data.europa.eu/esco/occupation/2a8d6b4c-661d-4620-8f68-2c99e78f512e,"modellmakare, metall",http://data.europa.eu/esco/occupation/2a8d6b4c-661d-4620-8f68-2c99e78f512e,http://data.jobtechdev.se/taxonomy/concept/TEXC_GAb_LcK,Verktygsmakare,http://data.jobtechdev.se/taxonomy/concept/TEXC_GAb_LcK,skos:broadMatch,
http://data.europa.eu/esco/occupation/8a925aca-f636-437c-8962-5deae170e246,specialist på mat- och dryckesförpackningsteknik,http://data.europa.eu/esco/occupation/8a925aca-f636-437c-8962-5deae170e246,http://data.jobtechdev.se/taxonomy/concept/TeYW_x7z_uSq,Förpackningstekniker,http://data.jobtechdev.se/taxonomy/concept/TeYW_x7z_uSq,skos:closeMatch,
http://data.europa.eu/esco/isco/C2141,"Civilingenjörer m.fl., industri och produktion",http://data.europa.eu/esco/isco/C2141,http://data.jobtechdev.se/taxonomy/concept/TeYW_x7z_uSq,Förpackningstekniker,http://data.jobtechdev.se/taxonomy/concept/TeYW_x7z_uSq,skos:narrowMatch,
http://data.europa.eu/esco/occupation/d9ab0f3d-078d-42a7-a502-3e739e0aeff6,flygplanselektriker,http://data.europa.eu/esco/occupation/d9ab0f3d-078d-42a7-a502-3e739e0aeff6,http://data.jobtechdev.se/taxonomy/concept/5vTD_wiJ_KGJ,El- och avioniktekniker/IERA- tekniker,http://data.jobtechdev.se/taxonomy/concept/5vTD_wiJ_KGJ,skos:exactMatch,
http://data.europa.eu/esco/occupation/75f4c7aa-019f-4545-9ce1-2d163fe78580,"underhållstekniker, pipeline",http://data.europa.eu/esco/occupation/75f4c7aa-019f-4545-9ce1-2d163fe78580,http://data.jobtechdev.se/taxonomy/concept/UvdT_qWq_3Ns,"Lärling, industrirörmontör",http://data.jobtechdev.se/taxonomy/concept/UvdT_qWq_3Ns,skos:broadMatch,
http://data.europa.eu/esco/isco/C3333,Arbetsförmedlare,http://data.europa.eu/esco/isco/C3333,http://data.jobtechdev.se/taxonomy/concept/Luo9_kCz_Z8D,Arbetskonsulent,http://data.jobtechdev.se/taxonomy/concept/Luo9_kCz_Z8D,skos:narrowMatch,
http://data.europa.eu/esco/occupation/da4589ce-7534-4cc1-9ce4-cabf9364b87c,lokaliserare,http://data.europa.eu/esco/occupation/da4589ce-7534-4cc1-9ce4-cabf9364b87c,http://data.jobtechdev.se/taxonomy/concept/qBo3_TzN_rcP,Lokaliserare,http://data.jobtechdev.se/taxonomy/concept/qBo3_TzN_rcP,skos:exactMatch,
http://data.europa.eu/esco/occupation/f817aab2-ec8a-45ec-88ef-c11e0f19fd85,"handläggare, offentlig förvaltning, utbildning",http://data.europa.eu/esco/occupation/f817aab2-ec8a-45ec-88ef-c11e0f19fd85,http://data.jobtechdev.se/taxonomy/concept/U4dr_Qkp_7XM,Forskningshandläggare,http://data.jobtechdev.se/taxonomy/concept/U4dr_Qkp_7XM,skos:closeMatch,
http://data.europa.eu/esco/occupation/d7d986e1-7333-431b-9719-0c5c6939e360,"civilingenjör, väg- och vattenbyggnad",http://data.europa.eu/esco/occupation/d7d986e1-7333-431b-9719-0c5c6939e360,http://data.jobtechdev.se/taxonomy/concept/cfJA_uhP_dD3,VA-strateg,http://data.jobtechdev.se/taxonomy/concept/cfJA_uhP_dD3,skos:closeMatch,
http://data.europa.eu/esco/isco/C8219,Övriga montörer,http://data.europa.eu/esco/isco/C8219,http://data.jobtechdev.se/taxonomy/concept/v7ct_osY_UL1,Mätartekniker VA,http://data.jobtechdev.se/taxonomy/concept/v7ct_osY_UL1,skos:narrowMatch,
http://data.europa.eu/esco/occupation/a6007269-912a-4445-b792-b4d5fe016bb2,värd,http://data.europa.eu/esco/occupation/a6007269-912a-4445-b792-b4d5fe016bb2,http://data.jobtechdev.se/taxonomy/concept/rXD4_UtQ_AVC,Turistassistent,http://data.jobtechdev.se/taxonomy/concept/rXD4_UtQ_AVC,skos:closeMatch,
http://data.europa.eu/esco/occupation/dc97adbe-f807-4ad8-8f3c-c24b3416cdef,specialist inom digital marknadsföring,http://data.europa.eu/esco/occupation/dc97adbe-f807-4ad8-8f3c-c24b3416cdef,http://data.jobtechdev.se/taxonomy/concept/WCma_2oa_gyZ,Marknadsförare,http://data.jobtechdev.se/taxonomy/concept/WCma_2oa_gyZ,skos:broadMatch,
http://data.europa.eu/esco/occupation/f0691bb2-c717-4215-a814-88a15b10ee4d,fartygsmålare,http://data.europa.eu/esco/occupation/f0691bb2-c717-4215-a814-88a15b10ee4d,http://data.jobtechdev.se/taxonomy/concept/EYGb_fhL_6Zy,"Lärling, målare",http://data.jobtechdev.se/taxonomy/concept/EYGb_fhL_6Zy,skos:broadMatch,
http://data.europa.eu/esco/occupation/f0691bb2-c717-4215-a814-88a15b10ee4d,fartygsmålare,http://data.europa.eu/esco/occupation/f0691bb2-c717-4215-a814-88a15b10ee4d,http://data.jobtechdev.se/taxonomy/concept/rv19_K1B_Fuo,Målare,http://data.jobtechdev.se/taxonomy/concept/rv19_K1B_Fuo,skos:broadMatch,
http://data.europa.eu/esco/occupation/78faf623-2543-43a5-acb2-3c43a22d36e4,blockkedjearkitekt,http://data.europa.eu/esco/occupation/78faf623-2543-43a5-acb2-3c43a22d36e4,http://data.jobtechdev.se/taxonomy/concept/uyJg_i94_xmr,IT-arkitekt/Lösningsarkitekt,http://data.jobtechdev.se/taxonomy/concept/uyJg_i94_xmr,skos:broadMatch,
http://data.europa.eu/esco/occupation/2c9939ef-ebab-4111-8f27-605ae8782791,leveransuppföljare,http://data.europa.eu/esco/occupation/2c9939ef-ebab-4111-8f27-605ae8782791,http://data.jobtechdev.se/taxonomy/concept/Cq5M_A3K_Kvg,Övriga jurister,http://data.jobtechdev.se/taxonomy/concept/Cq5M_A3K_Kvg,skos:broadMatch,
http://data.europa.eu/esco/occupation/7f46db3a-754b-4bda-b287-5932fa062ee9,"ingenjör, kraftelektronik",http://data.europa.eu/esco/occupation/7f46db3a-754b-4bda-b287-5932fa062ee9,http://data.jobtechdev.se/taxonomy/concept/xLVr_z9Q_WDp,"Civilingenjörer m.fl., elektronik",http://data.jobtechdev.se/taxonomy/concept/xLVr_z9Q_WDp,skos:broadMatch,
http://data.europa.eu/esco/occupation/a32187fa-bc37-4fc2-8e89-296632bfc271,"vindkrafttekniker, landbaserad vindkraft",http://data.europa.eu/esco/occupation/a32187fa-bc37-4fc2-8e89-296632bfc271,http://data.jobtechdev.se/taxonomy/concept/9XKh_kC3_A29,Vindkraftstekniker,http://data.jobtechdev.se/taxonomy/concept/9XKh_kC3_A29,skos:exactMatch,
http://data.europa.eu/esco/occupation/cb4f98c8-6b8d-41d8-87eb-a2a2033a3a25,"specialist, offentlig upphandling",http://data.europa.eu/esco/occupation/cb4f98c8-6b8d-41d8-87eb-a2a2033a3a25,http://data.jobtechdev.se/taxonomy/concept/ryH6_MAv_QWb,Upphandlare,http://data.jobtechdev.se/taxonomy/concept/ryH6_MAv_QWb,skos:broadMatch,
http://data.europa.eu/esco/occupation/02bd7cac-8263-4425-b03d-19001ffe8787,kläckeriansvarig vid vattenbruk,http://data.europa.eu/esco/occupation/02bd7cac-8263-4425-b03d-19001ffe8787,http://data.jobtechdev.se/taxonomy/concept/gnUv_6QR_Zoa,Vattenbrukare,http://data.jobtechdev.se/taxonomy/concept/gnUv_6QR_Zoa,skos:broadMatch,
http://data.europa.eu/esco/occupation/2a8d6b4c-661d-4620-8f68-2c99e78f512e,"modellmakare, metall",http://data.europa.eu/esco/occupation/2a8d6b4c-661d-4620-8f68-2c99e78f512e,http://data.jobtechdev.se/taxonomy/concept/ujSa_U9i_e6v,"Prototyptillverkare, metall",http://data.jobtechdev.se/taxonomy/concept/ujSa_U9i_e6v,skos:closeMatch,
http://data.europa.eu/esco/occupation/75b63949-1b93-4bf2-a777-ccf978dc3e8a,"installationselektriker, solenergi",http://data.europa.eu/esco/occupation/75b63949-1b93-4bf2-a777-ccf978dc3e8a,http://data.jobtechdev.se/taxonomy/concept/chze_8HV_Ujk,Solcellsmontör,http://data.jobtechdev.se/taxonomy/concept/chze_8HV_Ujk,skos:exactMatch,
http://data.europa.eu/esco/occupation/8cf68522-dfc9-43c0-9f65-892703f4705e,"driftelektriker, flygplats",http://data.europa.eu/esco/occupation/8cf68522-dfc9-43c0-9f65-892703f4705e,http://data.jobtechdev.se/taxonomy/concept/TCGb_VdF_NSm,Distributionselektriker,http://data.jobtechdev.se/taxonomy/concept/TCGb_VdF_NSm,skos:broadMatch,
